instance basis1 basis2 ipgbs_basis1 ipgbs_basis2 fti2_basis1 fti2_basis2
../instances/knapsack_10_1_2_1.dat 20 274 1.980669683 1.804448343 0.554109897 0.037245041
../larger_instances/moip_100_1.dat 117 19655 0.011424533 147.561164156 0.050262131 167.723340601
../larger_instances/moip_100_10.dat 143 18362 0.009588529 134.73044212 0.059727382 151.110633777
../larger_instances/moip_100_2.dat 116 17819 0.01059663 90.166758953 0.050101269 128.256172368
../larger_instances/moip_100_3.dat 135 12250 0.006453668 64.18602607 0.040480119 72.640225411
../larger_instances/moip_100_4.dat 115 9501 0.004237353 48.69417922 0.036044539 76.337567354
../larger_instances/moip_100_5.dat 140 14426 0.007588911 79.351270067 0.044857891 87.790195818
../larger_instances/moip_100_6.dat 181 16176 0.005721494 63.858749973 0.046154559 96.459184093
../larger_instances/moip_100_7.dat 148 16998 0.005763979 83.823380639 0.044655462 96.709947375
../larger_instances/moip_100_8.dat 137 9852 0.003828076 34.429208988 0.038348192 46.519359857
../larger_instances/moip_100_9.dat 122 13818 0.005005061 55.316481445 0.049830533 65.504506555
../larger_instances/moip_50_1.dat 74 4646 0.003191408 5.010984907 0.023811461 6.426646594
../larger_instances/moip_50_10.dat 80 12384 0.00298827 27.864288272 0.024817893 30.759804193
../larger_instances/moip_50_2.dat 80 7862 0.00310022 20.214357172 0.022954224 25.042143168
../larger_instances/moip_50_3.dat 107 2883 0.003829499 5.109530979 0.025218015 5.05052608
../larger_instances/moip_50_4.dat 90 19366 0.003178933 71.994092884 0.026554364 77.951170604
../larger_instances/moip_50_5.dat 70 6895 0.002703583 11.387809495 0.022986027 17.147349783
../larger_instances/moip_50_6.dat 81 5944 0.004550863 6.845673625 0.025019524 8.934579938
../larger_instances/moip_50_7.dat 65 3852 0.002642179 6.084293549 0.024096237 6.845813493
../larger_instances/moip_50_8.dat 78 4211 0.00296268 5.503994314 0.023686876 6.82105771
../larger_instances/moip_50_9.dat 83 6301 0.002774211 10.935917482 0.025586959 14.536451312
../larger_instances/moip_60_1.dat 97 5731 0.002796752 7.319469011 0.024860884 10.000627685
../larger_instances/moip_60_10.dat 96 5966 0.003624866 11.637278396 0.031468403 15.362816734
../larger_instances/moip_60_2.dat 68 6943 0.003324141 8.859682416 0.026656576 10.278981686
../larger_instances/moip_60_3.dat 70 4846 0.002440473 7.343149104 0.026031071 10.878024374
../larger_instances/moip_60_4.dat 118 8067 0.005115481 19.787354829 0.026849967 18.861537164
../larger_instances/moip_60_5.dat 75 10257 0.002750318 29.067126075 0.024988301 35.186564489
../larger_instances/moip_60_6.dat 117 8742 0.004849056 12.412368704 0.029351782 21.3062067
../larger_instances/moip_60_7.dat 110 5863 0.004261956 8.574488911 0.028931786 10.44863193
../larger_instances/moip_60_8.dat 66 5575 0.002399285 8.186588944 0.02272846 9.231811812
../larger_instances/moip_60_9.dat 68 5732 0.003731833 18.372081046 0.029885487 18.754947255
../larger_instances/moip_70_1.dat 203 8789 0.010857777 20.246237604 0.037963836 23.660766751
../larger_instances/moip_70_10.dat 85 12344 0.00497712 37.058355664 0.028919018 45.347342851
../larger_instances/moip_70_2.dat 98 6881 0.005420867 15.33584139 0.031090595 19.132744562
../larger_instances/moip_70_3.dat 99 21017 0.003332249 109.788135834 0.028181589 121.898439377
../larger_instances/moip_70_4.dat 93 10875 0.003145702 24.984186614 0.027262255 31.40422791
../larger_instances/moip_70_5.dat 83 9266 0.003070951 24.529841065 0.028367301 32.895663012
../larger_instances/moip_70_6.dat 99 12355 0.003644356 37.28697043 0.026649671 49.593932383
../larger_instances/moip_70_7.dat 139 6211 0.005483709 11.713210411 0.032044032 13.429374185
../larger_instances/moip_70_8.dat 103 8405 0.004073613 24.544440877 0.029014282 30.599589201
../larger_instances/moip_70_9.dat 76 6612 0.005635664 13.037646679 0.026464917 16.437594616
../larger_instances/moip_80_1.dat 91 22771 0.00441989 132.195047759 0.034675105 147.637552721
../larger_instances/moip_80_10.dat 100 8449 0.004822748 23.59063707 0.033966955 30.957653992
../larger_instances/moip_80_2.dat 97 13037 0.004196764 70.055682042 0.098623799 59.884225479
../larger_instances/moip_80_3.dat 116 14835 0.004275204 62.487941113 0.034826271 69.405270192
../larger_instances/moip_80_4.dat 148 26325 0.00398667 217.664888017 0.035701694 242.344768711
../larger_instances/moip_80_5.dat 98 14270 0.006250061 39.905914338 0.060112739 55.360942983
../larger_instances/moip_80_6.dat 121 8044 0.006023492 17.483655389 0.038168737 23.032898503
../larger_instances/moip_80_7.dat 149 14279 0.005093824 52.611929093 0.045104558 61.217301692
../larger_instances/moip_80_8.dat 95 9094 0.008226287 32.406408823 0.037895255 35.947250432
../larger_instances/moip_80_9.dat 140 30897 0.004104959 211.007138607 0.040239478 234.296579783
../larger_instances/moip_90_1.dat 131 17777 0.005849626 108.337182118 0.095029425 134.488807573
../larger_instances/moip_90_10.dat 148 14241 0.004590472 66.287883755 0.050423426 82.553010338
../larger_instances/moip_90_2.dat 113 34552 0.004616515 279.361917339 0.053312948 324.184326586
../larger_instances/moip_90_3.dat 95 9116 0.004111046 27.294969052 0.078579618 46.03543477
../larger_instances/moip_90_4.dat 111 20592 0.005982454 101.436480021 0.052946608 109.041402273
../larger_instances/moip_90_5.dat 112 14326 0.004351578 64.461773267 0.038846632 79.108595714
../larger_instances/moip_90_6.dat 120 11592 0.003734963 38.926610127 0.038507904 47.46331362
../larger_instances/moip_90_7.dat 131 10517 0.003877323 23.586133662 0.035361921 43.701590031
../larger_instances/moip_90_8.dat 103 12939 0.003400041 53.411931009 0.075901323 52.601306078
../larger_instances/moip_90_9.dat 146 12012 0.005371383 30.460202558 0.039929796 37.163462827
